Date	Time	Severity	PID	TID	Function	Message
18-02-2025	20:39:15.329	 INFO	 26860	 22892	DllMain	"DLL_PROCESS_ATTACH Mon Oct  7 21:44:09 2024 11.3.2428.18"
18-02-2025	20:39:15.330	 INFO	 26860	 12424	LateInitialization	"Intialization..."
18-02-2025	20:39:15.331	 INFO	 26860	 12424	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
18-02-2025	20:39:15.331	 INFO	 26860	 12424	LateInitialization	"IsExplorer = 0"
18-02-2025	20:39:15.332	 INFO	 26860	 12424	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
18-02-2025	20:39:15.333	 INFO	 26860	 12424	LateInitialization	"Intialization finished"
18-02-2025	20:41:22.340	 INFO	 31476	 34460	DllMain	"DLL_PROCESS_ATTACH Mon Oct  7 21:44:09 2024 11.3.2428.18"
18-02-2025	20:41:22.341	 INFO	 31476	 34200	LateInitialization	"Intialization..."
18-02-2025	20:41:22.342	 INFO	 31476	 34200	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
18-02-2025	20:41:22.342	 INFO	 31476	 34200	LateInitialization	"IsExplorer = 0"
18-02-2025	20:41:22.343	 INFO	 31476	 34200	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
18-02-2025	20:41:22.344	 INFO	 31476	 34200	LateInitialization	"Intialization finished"
18-02-2025	20:49:49.218	 INFO	 34156	 35048	DllMain	"DLL_PROCESS_ATTACH Mon Oct  7 21:44:09 2024 11.3.2428.18"
18-02-2025	20:49:49.220	 INFO	 34156	 28196	LateInitialization	"Intialization..."
18-02-2025	20:49:49.221	 INFO	 34156	 28196	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
18-02-2025	20:49:49.222	 INFO	 34156	 28196	LateInitialization	"IsExplorer = 0"
18-02-2025	20:49:49.223	 INFO	 34156	 28196	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
18-02-2025	20:49:49.225	 INFO	 34156	 28196	LateInitialization	"Intialization finished"
18-02-2025	20:50:39.628	 INFO	 34840	 30724	DllMain	"DLL_PROCESS_ATTACH Mon Oct  7 21:44:09 2024 11.3.2428.18"
18-02-2025	20:50:39.630	 INFO	 34840	 30032	LateInitialization	"Intialization..."
18-02-2025	20:50:39.632	 INFO	 34840	 30032	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
18-02-2025	20:50:39.633	 INFO	 34840	 30032	LateInitialization	"IsExplorer = 0"
18-02-2025	20:50:39.634	 INFO	 34840	 30032	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
18-02-2025	20:50:39.636	 INFO	 34840	 30032	LateInitialization	"Intialization finished"
18-02-2025	20:52:14.199	 INFO	 15696	 26736	DllMain	"DLL_PROCESS_ATTACH Mon Oct  7 21:44:09 2024 11.3.2428.18"
18-02-2025	20:52:14.200	 INFO	 15696	 30968	LateInitialization	"Intialization..."
18-02-2025	20:52:14.201	 INFO	 15696	 30968	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
18-02-2025	20:52:14.201	 INFO	 15696	 30968	LateInitialization	"IsExplorer = 0"
18-02-2025	20:52:14.202	 INFO	 15696	 30968	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
18-02-2025	20:52:14.203	 INFO	 15696	 30968	LateInitialization	"Intialization finished"
18-02-2025	20:53:40.771	 INFO	 35404	 32008	DllMain	"DLL_PROCESS_ATTACH Mon Oct  7 21:44:09 2024 11.3.2428.18"
18-02-2025	20:53:40.772	 INFO	 35404	 34084	LateInitialization	"Intialization..."
18-02-2025	20:53:40.773	 INFO	 35404	 34084	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
18-02-2025	20:53:40.774	 INFO	 35404	 34084	LateInitialization	"IsExplorer = 0"
18-02-2025	20:53:40.775	 INFO	 35404	 34084	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
18-02-2025	20:53:40.777	 INFO	 35404	 34084	LateInitialization	"Intialization finished"
